label,frame,timestamp,confidence
unfocused,0,0.0,tensor(0.9545)
focused,0,0.0,tensor(0.9406)
unfocused,0,0.0,tensor(0.9260)
unfocused,0,0.0,tensor(0.8721)
focused,0,0.0,tensor(0.8331)
unfocused,0,0.0,tensor(0.7488)
unfocused,1,0.04,tensor(0.9553)
focused,1,0.04,tensor(0.9377)
unfocused,1,0.04,tensor(0.9279)
unfocused,1,0.04,tensor(0.8894)
focused,1,0.04,tensor(0.8286)
unfocused,1,0.04,tensor(0.7270)
unfocused,2,0.08,tensor(0.9541)
focused,2,0.08,tensor(0.9333)
unfocused,2,0.08,tensor(0.9243)
unfocused,2,0.08,tensor(0.8674)
focused,2,0.08,tensor(0.8087)
unfocused,2,0.08,tensor(0.6901)
unfocused,3,0.12,tensor(0.9512)
focused,3,0.12,tensor(0.9305)
unfocused,3,0.12,tensor(0.9207)
unfocused,3,0.12,tensor(0.8614)
focused,3,0.12,tensor(0.7986)
unfocused,3,0.12,tensor(0.7060)
unfocused,4,0.16,tensor(0.9517)
focused,4,0.16,tensor(0.9286)
unfocused,4,0.16,tensor(0.9162)
unfocused,4,0.16,tensor(0.8404)
focused,4,0.16,tensor(0.8378)
unfocused,4,0.16,tensor(0.6692)
unfocused,5,0.2,tensor(0.9513)
focused,5,0.2,tensor(0.9262)
unfocused,5,0.2,tensor(0.9071)
unfocused,5,0.2,tensor(0.8424)
focused,5,0.2,tensor(0.8309)
unfocused,5,0.2,tensor(0.6922)
unfocused,6,0.24,tensor(0.9502)
focused,6,0.24,tensor(0.9256)
unfocused,6,0.24,tensor(0.9151)
focused,6,0.24,tensor(0.8434)
unfocused,6,0.24,tensor(0.8295)
unfocused,6,0.24,tensor(0.6792)
unfocused,7,0.28,tensor(0.9511)
focused,7,0.28,tensor(0.9233)
unfocused,7,0.28,tensor(0.9158)
unfocused,7,0.28,tensor(0.8846)
focused,7,0.28,tensor(0.8745)
unfocused,7,0.28,tensor(0.6794)
unfocused,8,0.32,tensor(0.9506)
focused,8,0.32,tensor(0.9237)
unfocused,8,0.32,tensor(0.9141)
unfocused,8,0.32,tensor(0.8868)
focused,8,0.32,tensor(0.8638)
unfocused,8,0.32,tensor(0.6441)
unfocused,8,0.32,tensor(0.5718)
unfocused,9,0.36,tensor(0.9519)
focused,9,0.36,tensor(0.9319)
unfocused,9,0.36,tensor(0.9109)
focused,9,0.36,tensor(0.8864)
unfocused,9,0.36,tensor(0.8684)
unfocused,9,0.36,tensor(0.6818)
unfocused,9,0.36,tensor(0.5926)
unfocused,10,0.4,tensor(0.9511)
focused,10,0.4,tensor(0.9342)
unfocused,10,0.4,tensor(0.9106)
focused,10,0.4,tensor(0.8862)
unfocused,10,0.4,tensor(0.8563)
unfocused,10,0.4,tensor(0.6792)
unfocused,11,0.44,tensor(0.9495)
focused,11,0.44,tensor(0.9328)
unfocused,11,0.44,tensor(0.9184)
focused,11,0.44,tensor(0.8973)
unfocused,11,0.44,tensor(0.8627)
unfocused,11,0.44,tensor(0.5861)
unfocused,12,0.48,tensor(0.9483)
focused,12,0.48,tensor(0.9318)
unfocused,12,0.48,tensor(0.9168)
focused,12,0.48,tensor(0.8901)
unfocused,12,0.48,tensor(0.8598)
unfocused,12,0.48,tensor(0.6864)
unfocused,13,0.52,tensor(0.9470)
focused,13,0.52,tensor(0.9308)
unfocused,13,0.52,tensor(0.9152)
focused,13,0.52,tensor(0.8984)
unfocused,13,0.52,tensor(0.8640)
unfocused,13,0.52,tensor(0.7056)
unfocused,14,0.56,tensor(0.9455)
focused,14,0.56,tensor(0.9318)
unfocused,14,0.56,tensor(0.9215)
focused,14,0.56,tensor(0.9011)
unfocused,14,0.56,tensor(0.8613)
unfocused,14,0.56,tensor(0.6533)
unfocused,15,0.6,tensor(0.9479)
focused,15,0.6,tensor(0.9295)
unfocused,15,0.6,tensor(0.9221)
focused,15,0.6,tensor(0.9015)
unfocused,15,0.6,tensor(0.8392)
unfocused,15,0.6,tensor(0.6295)
unfocused,16,0.64,tensor(0.9480)
focused,16,0.64,tensor(0.9270)
unfocused,16,0.64,tensor(0.9251)
focused,16,0.64,tensor(0.9091)
unfocused,16,0.64,tensor(0.8088)
unfocused,16,0.64,tensor(0.6455)
unfocused,17,0.68,tensor(0.9503)
unfocused,17,0.68,tensor(0.9249)
focused,17,0.68,tensor(0.9235)
focused,17,0.68,tensor(0.9116)
unfocused,17,0.68,tensor(0.7858)
unfocused,17,0.68,tensor(0.6521)
unfocused,17,0.68,tensor(0.5987)
unfocused,18,0.72,tensor(0.9478)
focused,18,0.72,tensor(0.9250)
unfocused,18,0.72,tensor(0.9132)
focused,18,0.72,tensor(0.9010)
unfocused,18,0.72,tensor(0.7144)
unfocused,18,0.72,tensor(0.6760)
unfocused,18,0.72,tensor(0.6154)
unfocused,19,0.76,tensor(0.9498)
focused,19,0.76,tensor(0.9276)
unfocused,19,0.76,tensor(0.9151)
focused,19,0.76,tensor(0.9063)
unfocused,19,0.76,tensor(0.7372)
unfocused,19,0.76,tensor(0.7227)
unfocused,19,0.76,tensor(0.6773)
unfocused,20,0.8,tensor(0.9429)
focused,20,0.8,tensor(0.9286)
unfocused,20,0.8,tensor(0.9044)
focused,20,0.8,tensor(0.9023)
unfocused,20,0.8,tensor(0.8193)
unfocused,20,0.8,tensor(0.6957)
focused,20,0.8,tensor(0.6684)
unfocused,21,0.84,tensor(0.9365)
focused,21,0.84,tensor(0.9288)
unfocused,21,0.84,tensor(0.9065)
focused,21,0.84,tensor(0.8960)
unfocused,21,0.84,tensor(0.8284)
focused,21,0.84,tensor(0.7524)
unfocused,21,0.84,tensor(0.6697)
unfocused,22,0.88,tensor(0.9389)
focused,22,0.88,tensor(0.9299)
focused,22,0.88,tensor(0.9046)
unfocused,22,0.88,tensor(0.9017)
unfocused,22,0.88,tensor(0.8205)
focused,22,0.88,tensor(0.7624)
unfocused,22,0.88,tensor(0.6143)
unfocused,23,0.92,tensor(0.9307)
focused,23,0.92,tensor(0.9258)
unfocused,23,0.92,tensor(0.9037)
focused,23,0.92,tensor(0.9015)
unfocused,23,0.92,tensor(0.8052)
focused,23,0.92,tensor(0.7969)
unfocused,23,0.92,tensor(0.5635)
unfocused,24,0.96,tensor(0.9431)
focused,24,0.96,tensor(0.9245)
unfocused,24,0.96,tensor(0.9076)
focused,24,0.96,tensor(0.8807)
unfocused,24,0.96,tensor(0.8114)
focused,24,0.96,tensor(0.8109)
unfocused,24,0.96,tensor(0.6487)
unfocused,24,0.96,tensor(0.6048)
unfocused,25,1.0,tensor(0.9466)
focused,25,1.0,tensor(0.9252)
unfocused,25,1.0,tensor(0.9173)
focused,25,1.0,tensor(0.8827)
unfocused,25,1.0,tensor(0.8219)
focused,25,1.0,tensor(0.7920)
unfocused,25,1.0,tensor(0.7585)
unfocused,26,1.04,tensor(0.9462)
focused,26,1.04,tensor(0.9255)
unfocused,26,1.04,tensor(0.9249)
focused,26,1.04,tensor(0.8626)
unfocused,26,1.04,tensor(0.8215)
focused,26,1.04,tensor(0.8110)
unfocused,26,1.04,tensor(0.6935)
unfocused,27,1.08,tensor(0.9408)
focused,27,1.08,tensor(0.9285)
unfocused,27,1.08,tensor(0.9177)
focused,27,1.08,tensor(0.8784)
unfocused,27,1.08,tensor(0.8315)
focused,27,1.08,tensor(0.8143)
unfocused,27,1.08,tensor(0.6559)
unfocused,28,1.12,tensor(0.9398)
unfocused,28,1.12,tensor(0.9187)
focused,28,1.12,tensor(0.8932)
unfocused,28,1.12,tensor(0.8781)
focused,28,1.12,tensor(0.8768)
unfocused,28,1.12,tensor(0.8017)
focused,28,1.12,tensor(0.7783)
unfocused,29,1.16,tensor(0.9196)
focused,29,1.16,tensor(0.8956)
unfocused,29,1.16,tensor(0.8867)
focused,29,1.16,tensor(0.8784)
